DXB,HEL,2022-09-10 12:30,2022-09-10 18:15
HEK,GRU,2022-09-10 13:30,2022-09-10 16:15
IND,COK,2022-09-10 09:10,2022-09-10 18:15
DXB,GRT,2022-09-10 10:30,2022-09-10 14:15
INJ,AUH,2022-09-10 01:30,2022-09-10 10:15
DXB,COK,2022-09-10 09:20,2022-09-10 13:15
JAA,AUH,2022-09-11 12:30,2022-09-11 18:15
JAC,HEL,2022-09-11 11:25,2022-09-11 18:15
DXB,IZA,2022-09-11 12:30,2022-09-11 18:15
JAC,HEL,2022-09-12 12:30,2022-09-12 18:15
DXB,JUR,2022-09-12 02:30,2022-09-12 10:20
KCI,HEL,2022-09-12 02:30,2022-09-12 11:15
DXB,HEL,2022-09-13 05:30,2022-09-13 12:15
HEL,DXB,2022-09-13 09:30,2022-09-13 13:15
AUH,HEL,2022-09-13 12:30,2022-09-13 18:15
DXB,IZA,2022-09-14 07:30,2022-09-14 11:15
DXB,KCI,2022-09-14 10:30,2022-09-14 12:15
JAC,HEL,2022-09-14 11:30,2022-09-14 14:15
INJ,HEL,2022-09-14 12:30,2022-09-14 18:15
